nom site;Polluant;valeur brute;Latitude;Longitude
VICTOR HUGO;PM2.5;10.415417707466027;47.204356;-1.552914
SAINT-DENIS D'ANJOU;PM2.5;9.306878563629732;47.78773;-0.444044
SOURCES;PM2.5;9.289708284714115;47.971066;0.221422
CIM BOUTEILLERIE;PM2.5;9.796458704693958;47.2225;-1.5375
MANOSQUE;PM2.5;8.157967032967044;43.835784;5.786131
GAP COMMANDERIE;PM2.5;11.346736893086344;44.555193;6.073015
NICE PROMENADE;PM2.5;12.962220127268468;43.689291;7.242074
NICE ARSON;PM2.5;11.19145811303023;43.702075;7.286256
GAP JEAN JAURES;PM2.5;9.91942454356367;44.548647;6.067237
Obs Haute-Provence;PM2.5;5.913989886828796;43.933476;5.711809
Espace du Palais;PM2.5;11.860994636762605;49.442358;1.093789
Dieppe prox-auto;PM2.5;11.264238716379975;49.918007;1.073972
Rouen Proxi Quai de Paris;PM2.5;13.967439446366752;49.436699;1.098838
Dijon Péjoces;PM2.5;6.84731986453345;47.307368;5.065881
Morvan;PM2.5;5.757928921568644;47.274762;4.099476
Auxerre;PM2.5;7.269663836221928;47.800575;3.576189
Dijon-Transvaal;PM2.5;7.909059314179783;47.315459;5.040202
A7 Nord-Isère;PM2.5;10.109917971662936;45.35327;4.804847
Bethune Stade;PM2.5;11.761550314092693;50.535385;2.635692
SAINT ETIENNE SUD;PM2.5;8.275112340131338;45.42009;4.395422
SAINT-CHAMOND;PM2.5;8.252875607731543;45.475327;4.515003
Luneville;PM2.5;10.843507549361192;48.584824;6.4839
Jonville en Woevre;PM2.5;9.525868930750883;49.06583;5.785556
Nancy-Charles III;PM2.5;8.772556845670087;48.68817;6.190431
Nancy-Libération;PM2.5;10.142853532162283;48.69708;6.154194
TALENCE;PM2.5;9.812196295405327;44.800556;-0.588056
BASSENS;PM2.5;9.260128189623904;44.900276;-0.514722
BILLERE;PM2.5;6.0328084300260425;43.310833;-0.391111
PERIGUEUX;PM2.5;6.688537596210765;45.18972;0.727222
DAX;PM2.5;8.708742258218235;43.704723;-1.038611
MARMANDE;PM2.5;6.864139450492492;44.508656;0.142503
MONT DE MARSAN;PM2.5;7.60430455912984;43.8961;-0.491403
Biarritz-hippodrome;PM2.5;6.475107033639163;43.47024;-1.553843
Bordeaux_GAUTIER;PM2.5;14.240540540540541;44.83383;-0.59853
Chalon Centre Ville;PM2.5;9.664448669201494;46.782311;4.847322
Le Creusot Molette;PM2.5;7.5300744013020005;46.802375;4.417486
PASTEUR;PM2.5;8.997881892483004;45.56472;5.928333
Albertville;PM2.5;9.005946329353339;45.675;6.389722
LOVERCHY;PM2.5;8.80481576492541;45.89528;6.118333
GAILLARD;PM2.5;9.92097521426918;46.19369;6.214858
PASSY;PM2.5;14.049616368286413;45.92361;6.713611
St Germain/Rhône;PM2.5;7.8223247468922334;46.072224;5.820833
Bourg-en-Bresse;PM2.5;9.205282015718927;46.211666;5.226389
St Jean;PM2.5;10.032932205409287;47.917398;1.966258
Montargis;PM2.5;8.827463386057437;47.997889;2.7195
Joué lès Tours;PM2.5;10.511771507863047;47.344139;0.653778
Verneuil;PM2.5;6.827978857865097;46.814694;2.610069
Chartres_trafic;PM2.5;10.527286567513746;48.449158;1.492469
Issoudun_Trafic_ZR;PM2.5;7.169452265165085;46.942941;2.003258
Montargis_trafic;PM2.5;8.423991057771513;48.006936;2.740111
LIMOGES - Présidial;PM2.5;5.052;45.8311;1.256875
TULLE - Victor Hugo;PM2.5;8.233476856835292;45.263615;1.763889
LIMOGES - BERLAND;PM2.5;8.110613758066703;45.84222;1.25967
