nom site;Polluant;valeur brute;Latitude;Longitude
Square Pablo Casals;PM10;16.459204505455848;45.647415;0.167167
ANGOULEME-GAMBETTA;PM10;19.396561194029907;45.65145;0.16236667
La Pallice3 LR;PM10;20.756571760604256;46.16161;-1.211203
AIRVAULT 2;PM10;16.318061330561275;46.824368;-0.135461
Zoodyssée Chizé;PM10;11.673477430140897;46.143173;-0.396042
Niort Trafic 6;PM10;20.50900847154281;46.321976;-0.4664312
Poitiers-Le Nain;PM10;21.029258741258783;46.5909;0.3404
Poitiers Centre  Augouard;PM10;15.467051886792392;46.58389;0.345556
Malo-les-Bains;PM10;20.033886693017152;51.04858;2.42004
Mardyck;PM10;24.099036680251892;51.01943;2.25099
Calais Berthelot;PM10;22.89821322215599;50.94729;1.84308
St Pol mer - cheminots;PM10;22.746963363658733;51.032761;2.332358
Sangatte;PM10;22.506828718205725;50.94989;1.76917
Calais Parmentier;PM10;21.181877137130122;50.9578;1.89008
Gravelines PC/Drire;PM10;22.183830606352274;50.98106;2.14317
Cappelle la Grande;PM10;18.41083234244944;50.99594;2.36627
Boulogne Diderot;PM10;22.243645269399437;50.717029;1.605913
Outreau;PM10;17.52192166807557;50.69435;1.57657
Grande-synthe;PM10;23.425091091845715;51.02446;2.30215
St Omer Ribot;PM10;19.373250369640214;50.74823;2.25978
Campagne les B.;PM10;17.29674149167265;50.61048;1.99145
Marcq CTM;PM10;21.05192010128015;50.67003;3.07656
Lille Fives;PM10;19.967898164594324;50.62805;3.09031
Roubaix Serres;PM10;20.48302673534468;50.706535;3.18066
ECOLE M.JACQUIER;PM10;15.665126250595458;43.575694;1.418064
PEYRUSSE;PM10;10.536519324230456;43.6287;0.179069
MAZADES;PM10;14.898120256859288;43.623606;1.438531
ALBI DELMAS;PM10;13.801624695369604;43.927769;2.145897
BERTHELOT;PM10;14.289934225980746;43.587344;1.444003
EISENHOWER;PM10;16.584346820809273;43.561581;1.393261
CHAPITRE;PM10;17.133079625292762;43.556375;1.403964
LOURDES LAPACCA;PM10;12.422259212489955;43.096247;-0.040497
Aeroport cote trafic;PM10;14.186417755172789;43.633478;1.375717
BESSIERES;PM10;14.685772737900388;43.803139;1.595475
Lycée Dupuy à Tarbes;PM10;13.989306016106084;43.230297;0.062339
Stade Travet CASTRES;PM10;15.307027716572003;43.610497;2.23015
TRAFIC_TOULOUSE;PM10;20.61625334730466;43.643944;1.468244
Port de l Embouchure;PM10;21.48796065884589;43.610386;1.4152
REVIN;PM10;10.279641067474646;49.90778;4.63
BETHENY;PM10;17.808964781216684;49.28222;4.051111
DOUMER;PM10;22.74429787744333;49.250732;4.023064
Jean d Aulan;PM10;17.32060331465361;49.224167;4.020556
CHALONS;PM10;16.84917321449514;48.962223;4.36
Rempart Perrier;PM10;20.244985012681514;49.0461;3.955911
LA TOUR;PM10;16.00857311320753;48.301666;4.076944
STE SAVINE;PM10;17.019765719671547;48.295002;4.050278
St DIZIER L. Michel;PM10;16.427264138210262;48.645836;4.966111
CHARLEVILLE;PM10;18.37392061714574;49.745277;4.719167
Voiron Urbain;PM10;14.98250230840261;45.360176;5.589419
St Martin d'Heres;PM10;18.117790328273824;45.1828;5.7531
Le Rondeau;PM10;23.01268501387608;45.158363;5.703764
Grenoble Les Frenes;PM10;17.108091584751868;45.1619;5.7356
Grenoble PeriurbSud;PM10;12.587991215903854;45.0578;5.6767
Grenoble Boulevards;PM10;20.97626008653949;45.18069;5.720625
