nom site;Polluant;valeur brute;Latitude;Longitude
LAGOR;SO2;2.280081727962628;43.40972;-0.671667
MASLACQ;SO2;2.9711470795214723;43.434166;-0.691944
MOURENX;SO2;1.3355275665399307;43.376945;-0.609444
TARTAS Pelletrin;SO2;1.213962658007646;43.838333;-0.810833
SAINT JEAN;SO2;4.665289446426524;45.274723;6.349722
St Germain/Rhône;SO2;0.2414781297134244;46.072224;5.820833
ST JUNIEN - Fontaine;SO2;-0.1697037524687291;45.89;0.9
SAILLAT - Ipaper;SO2;0.7622345934748836;45.87583;0.823889
Saint Bauzile CEC;SO2;4.481531531531534;44.675938;4.673586
AJACCIO CANETTO;SO2;1.1587136929460573;41.924694;8.735694
BASTIA GIRAUD;SO2;1.0734107436077835;42.697917;9.446417
AJACCIO ABBATUCCI;SO2;1.4087453874538736;41.92575;8.738278
BASTIA FANGO;SO2;0.7519934906427994;42.702833;9.446389
Tavaux;SO2;1.7867616861940356;47.04261;5.400897
Damparis;SO2;1.4056319811875437;47.06564;5.415028
Chatenois;SO2;2.857291908184572;47.14725;5.556117
