Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03071;TOULON CLARET;Urbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;61.0;61.46573162354016;µg-m3;100.0;100;100.0;R;1;43.131113;5.924184
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03080;AVIGNON   MAIRIE;Urbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;64.0;64.46889321723172;µg-m3;100.0;100;100.0;R;1;43.949673;4.804341
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZRE01;ZR PROVENCE-ALPES-COTE D’AZUR;FR03086;APT;Périurbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;61.0;61.051710938406224;µg-m3;98.0;100;98.0;R;1;43.88012;5.362038
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03088;CARPENTRAS;Périurbaine;O3;Fond;1;Oui;mesures fixes;;Moy. annuelle;67.0;67.1338679683868;µg-m3;98.0;100;98.0;R;1;44.060347;5.067413
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;;Oui;mesures fixes;;Moy. annuelle;45.0;45.08295521335378;µg-m3;97.0;100;97.0;R;1;48.891666;2.346667
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04017;NEUILLY-SUR-SEINE;Urbaine;O3;Fond;;Oui;mesures fixes;;Moy. annuelle;44.0;43.67427352398527;µg-m3;99.0;100;99.0;R;1;48.88139;2.278056
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04023;CERGY-PONTOISE;Urbaine;O3;Fond;;Oui;mesures fixes;;Moy. annuelle;54.0;54.37394250993224;µg-m3;98.0;100;98.0;R;1;49.04639;2.043056
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;1;Oui;mesures fixes;;Moy. annuelle;50.0;50.01235800344232;µg-m3;99.0;100;99.0;R;1;48.799168;2.130556
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04034;VITRY-SUR-SEINE;Urbaine;O3;Fond;;Oui;mesures fixes;;Moy. annuelle;49.0;49.037807118254996;µg-m3;99.0;100;99.0;R;1;48.7758;2.3758
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;;Oui;mesures fixes;;Moy. annuelle;47.0;46.6025490871512;µg-m3;99.0;100;99.0;R;1;48.82861;2.360278
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04038;Zone Rurale SO;Rurale régionale;O3;Fond;;Oui;mesures fixes;;Moy. annuelle;62.0;62.12572244024259;µg-m3;96.0;100;96.0;R;1;48.581944;1.883333
