Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03021;AIX ROY RENE;Urbaine;NO2;Trafic;A;Oui;mesures fixes;;Moy. annuelle;39.0;39.21122815140639;µg-m3;99.0;99;99.0;R;1;43.524075;5.448164
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03029;AIX CENTRE ECOLE ART;Urbaine;NO2;Fond;A;Oui;mesures fixes;;Moy. annuelle;23.0;22.56148413984721;µg-m3;99.0;99;99.0;R;1;43.530285;5.440912
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03030;GARDANNE;Périurbaine;NO2;Fond;1;Oui;mesures fixes;;Moy. annuelle;22.0;22.498353672576577;µg-m3;99.0;100;99.0;R;1;43.453584;5.466672
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03032;AUBAGNE LES PASSONS;Urbaine;NO2;Fond;1;Oui;mesures fixes;;Moy. annuelle;17.0;17.00491406159877;µg-m3;99.0;100;99.0;R;1;43.293138;5.574184
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03043;MARSEILLE 5 AVENUES;Urbaine;NO2;Fond;A;Oui;mesures fixes;;Moy. annuelle;26.0;26.066291866028777;µg-m3;96.0;99;95.0;R;1;43.305287;5.394716
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03060;LA SEYNE GENOUD;Urbaine;NO2;Fond;1;Oui;mesures fixes;;Moy. annuelle;18.0;17.682243857209013;µg-m3;99.0;99;98.0;R;1;43.101565;5.875404
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03068;TOULON FOCH;Urbaine;NO2;Trafic;A;Oui;mesures fixes;;Moy. annuelle;38.0;38.12167832167846;µg-m3;98.0;98;96.0;R;1;43.126821;5.921605
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAR01;ZAR FREJUS-DRAGUIGNAN;FR03070;ESTEREL;Périurbaine;NO2;Fond;A;Oui;mesures fixes;;Moy. annuelle;10.0;9.697339482085885;µg-m3;97.0;100;97.0;R;1;43.437874;6.76839
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03071;TOULON CLARET;Urbaine;NO2;Fond;A;Oui;mesures fixes;;Moy. annuelle;22.0;22.48752577319589;µg-m3;100.0;100;100.0;R;1;43.131113;5.924184
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03080;AVIGNON   MAIRIE;Urbaine;NO2;Fond;A;Oui;mesures fixes;;Moy. annuelle;16.0;15.870687478480393;µg-m3;99.0;100;99.0;R;1;43.949673;4.804341
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03084;LE PONTET;Périurbaine;NO2;Fond;A;Oui;mesures fixes;;Moy. annuelle;17.0;16.521383358269066;µg-m3;99.0;100;99.0;R;1;43.960144;4.856731
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03087;Avignon Semard;Urbaine;NO2;Trafic;1;Oui;mesures fixes;;Moy. annuelle;24.0;24.43363517216722;µg-m3;97.0;99;96.0;R;1;43.93706;4.824909
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04002;GENNEVILLIERS;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;28.0;28.29942021983336;µg-m3;95.0;100;95.0;R;1;48.92972;2.294722
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;34.0;34.16956316966925;µg-m3;97.0;100;97.0;R;1;48.891666;2.346667
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04014;PARIS 12eme;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;32.0;31.83144009216603;µg-m3;99.0;100;99.0;R;1;48.837223;2.3939
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04017;NEUILLY-SUR-SEINE;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;33.0;33.477584994138425;µg-m3;97.0;100;97.0;R;1;48.88139;2.278056
